#"+EI TIC Scan FA_1.D "
#Point,X(Minutes),Y(Counts)
419,5.027,0.0932842388358127
420,5.031,0.090468110870958
421,5.034,0.114053182576616
422,5.037,0.0587866712663423
423,5.041,0.0686431191433339
424,5.044,0.0799076310027528
425,5.048,0.109124958638121
426,5.051,0.0633628792092313
427,5.055,0.0975084307830948
428,5.058,0.0760354550510775
429,5.061,0.0883560148973169
430,5.065,0.0865959349192827
431,5.068,0.102436654721591
432,5.072,0.127077774414069
433,5.075,0.0862439189236759
434,5.079,0.135174142313027
435,5.082,0.11475721456783
436,5.085,0.101028590739163
437,5.089,0.0897640788797443
438,5.092,0.0869479509148896
439,5.096,0.0869479509148896
440,5.099,0.0788515830159322
441,5.103,0.105252782686445
442,5.106,0.0922281908489922
443,5.109,0.0696991671301544
444,5.113,0.0478741754025303
445,5.116,0.103844718704018
446,5.120,0.0806116629939664
447,5.123,0.0478741754025303
448,5.127,0.057378607283915
449,5.130,0.0605467512443765
450,5.133,0.0894120628841375
451,5.137,0.0626588472180176
452,5.140,0.0616027992311971
453,5.144,0.0696991671301544
454,5.147,0.0707552151169749
455,5.151,0.085891902928069
456,5.154,0.0563225592970945
457,5.157,0.0739233590774365
458,5.161,0.0732193270862228
459,5.164,0.0637148952048381
460,5.168,0.0753314230598638
461,5.171,0.0608987672399834
462,5.175,0.0478741754025303
463,5.178,0.0654749751828723
464,5.181,0.0827237589676075
465,5.185,0.0503382873717782
466,5.188,0.0802596469983596
467,5.192,0.112645118594189
468,5.195,0.0918761748533853
469,5.199,0.16157534198354
470,5.202,0.0883560148973169
471,5.205,0.114405198572223
472,5.209,0.0936362548314195
473,5.212,0.100676574743556
474,5.216,0.0756834390554707
475,5.219,0.106660846668873
476,5.223,0.108772942642514
477,5.226,0.126373742422856
478,5.229,0.104548750695232
479,5.233,0.153478974084582
480,5.236,0.142214462225164
481,5.240,0.123205598462394
482,5.243,0.116869310541471
483,5.247,0.0872999669104964
484,5.250,0.130245918374531
485,5.253,0.0989164947655221
486,5.257,0.099268510761129
487,5.260,0.0848358549412485
488,5.264,0.0978604467787016
489,5.267,0.0848358549412485
490,5.271,0.0725152950950091
491,5.274,0.0584346552707355
492,5.277,0.0675870711565134
493,5.281,0.0510423193629919
494,5.284,0.10138060673477
495,5.288,0.0950443188138469
496,5.291,0.123205598462394
497,5.295,0.116517294545864
498,5.298,0.111237054611762
499,5.301,0.165799533930822
500,5.305,0.180936221741916
501,5.308,0.138694302269095
502,5.312,0.135526158308634
503,5.315,0.148902766141693
504,5.319,0.155591070058223
505,5.322,0.104196734699625
506,5.325,0.118981406515112
507,5.329,0.0880039989017101
508,5.332,0.0711072311125818
509,5.336,0.0894120628841375
510,5.339,0.0848358549412485
511,5.343,0.0975084307830948
