#"+EI TIC Scan Aro_1.D "
#Point,X(Minutes),Y(Counts)
563,5.521,0.445438676500653
564,5.524,0.648303951941374
565,5.528,1.00646338203148
566,5.531,1.51716491846074
567,5.535,2.14109358536854
568,5.538,2.46819418452877
569,5.542,2.58810486090362
570,5.545,2.52323515073362
571,5.548,2.25825221343314
572,5.552,1.7357561842457
573,5.555,1.35951186525971
574,5.559,0.872792464105427
575,5.562,0.596015034046769
576,5.566,0.378210067779018
577,5.569,0.237069304439447
578,5.572,0.122662724685087
579,5.576,0.103398386513391
580,5.579,0.121876425167875
581,5.583,0.168268096683389
582,5.586,0.170626995235025
583,5.590,0.184387236786237
584,5.593,0.285819874506597
585,5.596,0.564169903599679
586,5.600,1.05403450282282
587,5.603,1.5018320778751
588,5.607,2.24213307333029
589,5.610,2.88807812672003
590,5.614,3.35631948921983
591,5.617,3.67162559562188
592,5.620,3.55603956659171
593,5.624,3.16053090943402
594,5.627,2.52755979807828
595,5.631,1.84780386544843
596,5.634,1.32452153674378
597,5.638,0.86060482158864
598,5.641,0.71435311138719
599,5.644,0.83072543993458
600,5.648,1.46133765273868
601,5.651,3.24191290946547
602,5.655,6.78812373209203
603,5.658,12.4066269323311
604,5.662,20.1025334570445
605,5.665,29.4256868326283
606,5.668,37.4722829420183
607,5.672,42.7703690889934
608,5.675,44.1471795436318
609,5.679,42.2514114076334
610,5.682,36.4894085455032
611,5.686,29.513752378556
612,5.689,22.269574926481
613,5.692,15.5899605277642
614,5.696,9.94590259321581
615,5.699,6.44490399282895
616,5.703,3.9586249194043
617,5.706,2.40804227146205
618,5.710,1.34889682177735
619,5.713,0.787085816729309
620,5.716,0.515419333532529
621,5.720,0.374671719951564
622,5.723,0.218591265784963
623,5.727,0.214266618440296
624,5.730,0.137995565270723
625,5.734,0.156080454166601
626,5.737,0.142320212615389
627,5.740,0.139961314063753
628,5.744,0.13131201937442
629,5.747,0.106150434823633
630,5.751,0.11440657975436
631,5.754,0.11637232854739
632,5.758,0.143106512132602
633,5.761,0.11637232854739
634,5.764,0.126987372029754
635,5.768,0.114013429995754
636,5.771,0.113620280237148
637,5.775,0.0994668889273302
638,5.778,0.137995565270723
639,5.782,0.100253188444542
640,5.785,0.0927833430310274
641,5.788,0.0935696425482395
642,5.792,0.0975011401343
643,5.795,0.117944927581814
644,5.799,0.0935696425482395
645,5.802,0.0955353913412697
646,5.806,0.106543584582239
647,5.809,0.143892811649814
648,5.812,0.136422966236299
649,5.816,0.119910676374845
650,5.819,0.103005236754785
651,5.823,0.0821682995486641
652,5.826,0.0805957005142399
653,5.830,0.113620280237148
654,5.833,0.081382000031452
655,5.836,0.104577835789209
656,5.840,0.128559971064178
657,5.843,0.119124376857633
658,5.847,0.100253188444542
659,5.850,0.1104750821683
660,5.854,0.0766642029281794
661,5.857,0.0774505024453915
662,5.860,0.104970985547815
663,5.864,0.0864929468933306
664,5.867,0.0892449952035729
665,5.871,0.0947490918240576
666,5.874,0.0585793140323012
667,5.878,0.0959285410998758
668,5.881,0.0279136328610294
669,5.884,0.1104750821683
670,5.888,0.0986805894101181
671,5.891,0.0927833430310274
672,5.895,0.0448190724810895
673,5.898,0.0762710531695734
674,5.902,0.057399864756483
675,5.905,0.0782368019626036
676,5.908,0.0711601063076947
677,5.912,0.0908175942379971
678,5.915,0.0656560096872101
679,5.919,0.101825787478966
680,5.922,0.0746984541351492
681,5.926,0.073125855100725
