#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
378,4.887,0.0855134631562115
379,4.890,0.117494107913819
380,4.893,0.0639612895152151
381,4.897,0.0743897606318263
382,4.900,0.089684851602856
383,4.904,0.0785611490784708
384,4.907,0.0823849218212282
385,4.911,0.0789087647823578
386,4.914,0.111237025243852
387,4.917,0.0785611490784708
388,4.921,0.0966371656805968
389,4.924,0.0851658474523245
390,4.928,0.108803715316643
391,4.931,0.10567517398166
392,4.935,0.164769843642456
393,4.938,0.222474050487705
394,4.941,0.221778819079931
395,4.945,0.244026224128701
396,4.948,0.213436042186642
397,4.952,0.183888707356244
398,4.955,0.22073597196827
399,4.959,0.171026926312423
400,4.962,0.121665496360464
401,4.965,0.116451260802158
402,4.969,0.112975103763288
403,4.972,0.0875991573795338
404,4.976,0.0813420747095671
405,4.979,0.08099445900568
406,4.983,0.116451260802158
407,4.986,0.0924657772339523
408,4.989,0.0796039961901319
409,4.993,0.112627488059401
410,4.996,0.0917705458261782
411,5.000,0.106370405389434
412,5.003,0.0761278391512615
413,5.007,0.0754326077434874
414,5.010,0.0921181615300653
415,5.013,0.0931610086417264
416,5.017,0.0907276987145171
417,5.020,0.0827325375251152
418,5.024,0.0841230003406634
419,5.027,0.123055959176012
420,5.031,0.07160883500073
421,5.034,0.0820373061173412
422,5.037,0.0413662687625576
423,5.041,0.0643089052191022
424,5.044,0.0785611490784708
425,5.048,0.0869039259717597
426,5.051,0.0643089052191022
427,5.055,0.0726516821123911
428,5.058,0.0768230705590356
429,5.061,0.0858610788600986
430,5.065,0.0910753144184042
431,5.068,0.112279872355514
432,5.072,0.0785611490784708
433,5.075,0.132093967477075
434,5.079,0.12444642199156
435,5.082,0.108108483908869
436,5.085,0.0959419342728227
437,5.089,0.0966371656805968
438,5.092,0.0910753144184042
439,5.096,0.0799516118940189
440,5.099,0.0660469837385374
441,5.103,0.0848182317484375
442,5.106,0.071956450704617
443,5.109,0.0945514714572745
444,5.113,0.08099445900568
445,5.116,0.0597899010685707
446,5.120,0.101503785535015
447,5.123,0.0782135333745837
448,5.127,0.0677850622579726
449,5.130,0.0768230705590356
450,5.133,0.0997657070155801
451,5.137,0.0761278391512615
